"Nº Centros de Custo";"Centros de Custo";"Centros de Custo Pai";"Perfil Desembolso Pecuário";"Áreas de Negócio";"Situação"
"2.5.4.2";"Defensivos Químicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.5.5";"Mão de Obra Terceirizada (Funcionários Diaristas)";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.6";"Operações Mecanizadas Terceirizadas (Sem Colheita e Frete)";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.7";"Parceria Agrícola";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.8";"Planta de Cobertura";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.9";"Secagem e Armazenamento";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.10";"Seguro Agrícola";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.11";"Sementes/Mudas e Tratamento";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.12";"Taxas e Impostos NISP (Não Incidente Sobre a Produção)";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.13";"Outras Despesas com Milho Safrinha";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.6";"Milho Verão";"Agricultura e Silvicultura";;"";"Ativo"
"2.6.1";"Arrendamento";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.2";"Colheita e Transporte";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.3";"Corretivos e Fertilizantes";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.3.1";"Corretivos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.6.3.2";"Fertilizantes Naturais";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.6.3.3";"Fertilizantes Químicos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.6.4";"Defensivos";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.4.1";"Defensivos Biológicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.6.4.2";"Defensivos Químicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.6.5";"Mão de Obra Terceirizada (Funcionários Diaristas)";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.6";"Operações Mecanizadas Terceirizadas (Sem Colheita e Frete)";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.7";"Parceria Agrícola";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.8";"Planta de Cobertura";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.9";"Secagem e Armazenamento";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.10";"Seguro Agrícola";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.11";"Sementes/Mudas e Tratamento";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.12";"Taxas e Impostos NISP (Não Incidente Sobre a Produção)";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.13";"Outras Despesas com Milho Verão";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.7";"Seringueira";"Agricultura e Silvicultura";;"";"Ativo"
"2.7.1";"Arrendamento";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.2";"Colheita e Transporte";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.3";"Corretivos e Fertilizantes";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.3.1";"Corretivos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.7.3.2";"Fertilizantes Naturais";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.7.3.3";"Fertilizantes Químicos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.7.4";"Defensivos";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.4.1";"Defensivos Biológicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.7.4.2";"Defensivos Químicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.7.5";"Mão de Obra Terceirizada (Funcionários Diaristas)";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.6";"Operações Mecanizadas Terceirizadas (Sem Colheita e Frete)";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.7";"Parceria Agrícola";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.8";"Planta de Cobertura";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.9";"Secagem e Armazenamento";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.10";"Seguro Agrícola";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.11";"Secagem e Armazenamento";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.12";"Taxas e Impostos NISP (Não Incidente Sobre a Produção)";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.13";"Outras Despesas com Seringueira";"Seringueira";;"AGRICULTURA";"Ativo"
"2.8";"Soja";"Agricultura e Silvicultura";;"";"Ativo"
"2.8.1";"Arrendamento";"Soja";;"AGRICULTURA";"Ativo"
"2.8.2";"Colheita e Transporte";"Soja";;"AGRICULTURA";"Ativo"
"2.8.3";"Corretivos e Fertilizantes";"Soja";;"AGRICULTURA";"Ativo"
"2.8.3.1";"Corretivos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.8.3.2";"Fertilizantes Naturais";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.8.3.3";"Fertilizantes Químicos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.8.4";"Defensivos";"Soja";;"AGRICULTURA";"Ativo"
"2.8.4.1";"Defensivos Biológicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.8.4.2";"Defensivos Químicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.8.5";"Mão de Obra Terceirizada (Funcionários Diaristas)";"Soja";;"AGRICULTURA";"Ativo"
"2.8.6";"Operações Mecanizadas Terceirizadas (Sem Colheita e Frete)";"Soja";;"AGRICULTURA";"Ativo"
"2.8.7";"Parceria Agrícola";"Soja";;"AGRICULTURA";"Ativo"
"2.8.8";"Planta de Cobertura";"Soja";;"AGRICULTURA";"Ativo"
"2.8.9";"Secagem e Armazenamento";"Soja";;"AGRICULTURA";"Ativo"
"2.8.10";"Seguro Agrícola";"Soja";;"AGRICULTURA";"Ativo"
"2.8.11";"Sementes/Mudas e Tratamento";"Soja";;"AGRICULTURA";"Ativo"
"2.8.12";"Taxas e Impostos NISP (Não Incidente Sobre a Produção)";"Soja";;"AGRICULTURA";"Ativo"
"2.8.13";"Outras Despesas com Soja";"Soja";;"AGRICULTURA";"Ativo"
"2.9";"Outras Culturas";"Agricultura e Silvicultura";;"";"Ativo"
"2.9.1";"Outras Despesas com Outras Culturas";"Outras Culturas";;"AGRICULTURA";"Ativo"
"2.9.2";"Outras Despesas com Parcerias Agrícolas";"Outras Culturas";;"AGRICULTURA";"Ativo"
"3";"Investimentos";;;"";"Ativo"
"3.1";"Investimentos em Bovinos";"Investimentos";;"";"Ativo"
"3.1.1";"Compra de Bovinos";"Investimentos em Bovinos";;"PECUÁRIA";"Ativo"
"3.1.2";"Comissões";"Investimentos em Bovinos";;"PECUÁRIA";"Ativo"
"3.1.3";"Deslocamento, Alimentação e Hospedagem";"Investimentos em Bovinos";;"PECUÁRIA";"Ativo"
"3.1.4";"Frete: Compra e Transferência de Bovinos";"Investimentos em Bovinos";;"PECUÁRIA";"Ativo"
"3.1.5";"Outras Despesas com Investimentos em Bovinos";"Investimentos em Bovinos";;"PECUÁRIA";"Ativo"
"3.2";"Investimentos em Infraestrutura";"Investimentos";"Infraestrutura: Custeio + Investimento";"";"Ativo"
"3.2.1";"Barracões";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.2";"Cercas";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.3";"Estradas e Pontes";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.4";"Ferramentas e Equipamentos";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.5";"Horta, Pomar e Jardins";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.6";"Informática, Telefonia e Comunicação";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.7";"Instalações Pecuárias";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"PECUÁRIA";"Ativo"
"3.2.8";"Instalações Residenciais";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.9";"Móveis e Eletrodomésticos";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.10";"Projetos e Medições";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.11";"Rede Elétrica";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.12";"Rede Hidráulica";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.13";"Reflorestamento";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.14";"Segurança";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.15";"Solo contenções, Destoca e Recuperação";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.16";"Outras Despesas com Investimentos em Infraestrutura";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.2.17";"Irrigação";"Investimentos em Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.3";"Investimentos em Tropa e Outros Animais";"Investimentos";"Outros";"";"Ativo"
"3.3.1";"Aves";"Investimentos em Tropa e Outros Animais";"Outros";"OUTROS + PECUÁRIA";"Ativo"
"3.3.2";"Ovinos";"Investimentos em Tropa e Outros Animais";"Outros";"OUTROS + PECUÁRIA";"Ativo"
"3.3.3";"Suínos";"Investimentos em Tropa e Outros Animais";"Outros";"OUTROS + PECUÁRIA";"Ativo"
"3.3.4";"Tropa de Serviço";"Investimentos em Tropa e Outros Animais";"Outros";"OUTROS + PECUÁRIA";"Ativo"
"3.3.5";"Tropa de Reprodução";"Investimentos em Tropa e Outros Animais";"Outros";"OUTROS + PECUÁRIA";"Ativo"
"3.3.6";"Outras Despesas com Investimentos em Outros Animais";"Investimentos em Tropa e Outros Animais";"Outros";"OUTROS + PECUÁRIA";"Ativo"
"3.4";"Investimentos em RH";"Investimentos";"Mão de Obra Permanente";"";"Ativo"
"3.4.1";"Eventos Presentes";"Investimentos em RH";"Mão de Obra Permanente";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.4.2";"Treinamentos";"Investimentos em RH";"Mão de Obra Permanente";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.4.3";"Uniformes e EPI";"Investimentos em RH";"Mão de Obra Permanente";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.4.4";"Outras Despesas com Investimentos em RH";"Investimentos em RH";"Mão de Obra Permanente";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.5";"Investimentos em Parque de Máquinas";"Investimentos";"Parque de Máquinas: Custeio + Investimento";"";"Ativo"
"3.5.1";"Veículos";"Investimentos em Parque de Máquinas";"Parque de Máquinas: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.5.2";"Máquinas";"Investimentos em Parque de Máquinas";"Parque de Máquinas: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.5.3";"Implementos";"Investimentos em Parque de Máquinas";"Parque de Máquinas: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.5.4";"Outras Despesas com Investimentos em Parque de Máquinas";"Investimentos em Parque de Máquinas";"Parque de Máquinas: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"3.6";"Investimentos em Pastagens";"Investimentos";"Pastagem: Custeio + Investimento";"";"Ativo"
"3.6.1";"Formação de Pasto";"Investimentos em Pastagens";"Pastagem: Custeio + Investimento";"OUTROS + PECUÁRIA";"Ativo"
"3.6.2";"Outras Despesas com Investimentos em Pastagens";"Investimentos em Pastagens";"Pastagem: Custeio + Investimento";"OUTROS + PECUÁRIA";"Ativo"
"4";"Mão de Obra Permanente";;;"";"Ativo"
"4.1";"Mão de Obra Permanente";"Mão de Obra Permanente";"Mão de Obra Permanente";"";"Ativo"
"4.1.1";"Prêmios e Benefícios";"Mão de Obra Permanente";"Mão de Obra Permanente";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"4.1.2";"Rescisões e Acertos";"Mão de Obra Permanente";"Mão de Obra Permanente";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"4.1.3";"Salários e Encargos";"Mão de Obra Permanente";"Mão de Obra Permanente";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"4.1.4";"Outras Despesas com Mão de Obra Permanente";"Mão de Obra Permanente";"Mão de Obra Permanente";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"5";"Pecuária";;;"";"Ativo"
