"Nº Centros de Custo";"Centros de Custo";"Centros de Custo Pai";"Perfil Desembolso Pecuário";"Áreas de Negócio";"Situação"
"6.2.1";"Barracões";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.2.2";"Cercas";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.2.3";"Estradas e Pontes";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.2.4";"Ferramentas e Equipamentos";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.2.5";"Horta, Pomar e Jardins";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.2.6";"Identificação de Instalações";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.2.7";"Informática, Telefonia e Comunicação";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.2.8";"Instalações Pecuárias";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"PECUÁRIA";"Ativo"
"6.2.9";"Instalações Residenciais";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.2.10";"Móveis e Eletrodomésticos";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.2.11";"Rede Elétrica";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.2.12";"Rede Hidráulica";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.2.13";"Segurança";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.2.14";"Outras Despesas com Manutenção de Infraestrutura";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.2.15";"Irrigação";"Manutenção de Infraestrutura";"Infraestrutura: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.3";"Tropa e Outros Animais";"Suporte Produção";"Outros";"";"Ativo"
"6.3.1";"Aves";"Tropa e Outros Animais";"Outros";"OUTROS + PECUÁRIA";"Ativo"
"6.3.2";"Ovinos";"Tropa e Outros Animais";"Outros";"OUTROS + PECUÁRIA";"Ativo"
"6.3.3";"Suínos";"Tropa e Outros Animais";"Outros";"OUTROS + PECUÁRIA";"Ativo"
"6.3.4";"Tropa de Serviço";"Tropa e Outros Animais";"Outros";"OUTROS + PECUÁRIA";"Ativo"
"6.3.5";"Tropa de Reprodução";"Tropa e Outros Animais";"Outros";"OUTROS + PECUÁRIA";"Ativo"
"6.3.6";"Outras Despesas com Outros Animais";"Tropa e Outros Animais";"Outros";"OUTROS + PECUÁRIA";"Ativo"
"6.4";"Parque de Máquinas";"Suporte Produção";"Parque de Máquinas: Custeio + Investimento";"";"Ativo"
"6.4.1";"Combustíveis";"Parque de Máquinas";"Parque de Máquinas: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.4.2";"Manutenção e Conserto";"Parque de Máquinas";"Parque de Máquinas: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.4.3";"Seguros, Impostos e Multas";"Parque de Máquinas";"Parque de Máquinas: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.4.4";"Outras Despesas com Parque de Máquinas";"Parque de Máquinas";"Parque de Máquinas: Custeio + Investimento";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.5";"Taxas e Impostos";"Suporte Produção";"Taxas e Impostos";"";"Ativo"
"6.5.1";"Taxas e Impostos Sobre a Venda";"Taxas e Impostos";"Taxas e Impostos";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.5.2";"Taxas e Impostos Sobre o Lucro";"Taxas e Impostos";"Taxas e Impostos";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.5.3";"Taxas, Impostos e Outros";"Taxas e Impostos";"Taxas e Impostos";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"6.6";"Outras Despesas";"Suporte Produção";"Outros";"";"Ativo"
"6.6.1";"Outras Despesas";"Outras Despesas";"Outros";"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"7";"Outros Créditos";;;"";"Ativo"
"7.1";"Outros Créditos";"Outros Créditos";;"";"Ativo"
"7.1.1";"Outros Créditos";"Outros Créditos";;"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"7.2";"Financiamentos Créditos";"Outros Créditos";;"";"Ativo"
"7.2.1";"Financiamentos Créditos";"Financiamentos Créditos";;"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"7.3";"Outros Setores";"Outros Créditos";;"";"Ativo"
"7.3.1";"Outros Setores";"Outros Setores";;"OUTROS";"Ativo"
"7.3.2";"Boitel";"Outros Setores";;"OUTROS";"Ativo"
"7.3.3";"Operação na Bolsa";"Outros Setores";;"OUTROS";"Ativo"
"7.3.4";"Crédito de Carbono";"Outros Setores";;"OUTROS";"Ativo"
"8";"Outros Débitos";;;"";"Ativo"
"8.1";"Outros Débitos";"Outros Débitos";;"";"Ativo"
"8.1.1";"Outros Débitos";"Outros Débitos";;"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"8.2";"Financiamentos Débitos";"Outros Débitos";;"";"Ativo"
"8.2.1";"Financiamentos Débitos";"Financiamentos Débitos";;"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"8.3";"Dividendos";"Outros Débitos";;"";"Ativo"
"8.3.1";"Dividendos";"Dividendos";;"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"8.4";"Outros Setores";"Outros Débitos";;"";"Ativo"
"8.4.1";"Outros Setores";"Outros Setores";;"OUTROS";"Ativo"
"8.4.2";"Boitel";"Outros Setores";;"OUTROS";"Ativo"
"8.4.3";"Operação na Bolsa";"Outros Setores";;"OUTROS";"Ativo"
"8.4.4";"Crédito de Carbono";"Outros Setores";;"OUTROS";"Ativo"
